,Artist,Title,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
44,incubus,wish you were here,0,6KtLECDztnah63TNmV4Plw,0.246,0.768,9,-7.48,1,0.0387,0.000631,0.301,0.102,0.35,169.873,212733,4
45,p.o.d.,youth of the nation,0,0UrWr7Jnu1heq1o99ZwUd0,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,256240,4
46,u2,vertigo,0,57ZXcBtCZXSg9TVV5xRdnR,0.416,0.819,9,-3.974,1,0.0613,0.000138,0.00108,0.122,0.632,140.083,194520,4
47,afi,miss murder,0,0Ti2dlF2xLjXblvdU5fCxM,0.308,0.873,8,-4.542,1,0.0533,0.00022,0.000729,0.0974,0.686,143.519,206587,4
48,arctic monkeys,i bet you look good on the dancefloor,0,29EkMZmUNz1WsuzaMtVo1i,0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183,173680,4
49,the raconteurs,"steady, as she goes",0,19iqWNzp5LwEdvntpEK8MP,0.524,0.578,9,-4.563,1,0.12,0.0132,0.00921,0.108,0.537,123.669,215267,4
50,korn,falling away from me,0,2F6FfZ4w8z3eJpSxPotVO5,0.468,0.769,4,-7.036,1,0.041,0.00014,0.00124,0.271,0.17,104.102,270920,4
51,hoobastank,crawling in the dark,0,3wli6CFsUwYEuLZTIuCwt3,0.57,0.915,6,-4.802,0,0.105,0.000273,8.48e-05,0.178,0.676,93.54,175227,4
52,godsmack,i stand alone,0,44NRdYQw7P0GWuiunRv3hr,0.217,0.92,8,-4.479,1,0.0628,2.86e-05,0.0,0.102,0.376,167.169,246040,4
53,wolfmother,woman,0,3CkjLJYnnyOtGk4Jx4iYS4,0.219,0.952,2,-3.621,1,0.176,5.1e-05,0.0989,0.157,0.172,112.886,176307,1
54,audioslave,show me how to live,0,1Qdnvn4XlmZANCVy3XjrQo,0.433,0.854,9,-3.868,1,0.0483,0.000336,0.000177,0.162,0.368,89.4,277840,4
55,chevelle,the red,0,1gyee1JuFFiP476LQpRMYU,0.509,0.843,1,-3.318,0,0.0488,0.000671,0.000803,0.348,0.332,140.055,238400,3
56,seether,remedy,0,5ynxx6zC4dgzsMHLYQ04Dc,0.55,0.952,8,-4.664,1,0.0924,0.000193,0.000666,0.0614,0.391,127.804,207213,4
57,muse,plug in baby,0,429MqIq5nGH32feyRZHunv,0.408,0.965,2,-4.232,1,0.05,6.94e-06,0.000402,0.11,0.349,136.018,218000,4
58,deftones,change (in the house of flies) - in the house of flies lp version,0,51c94ac31swyDQj9B3Lzs3,0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,299533,4
59,a perfect circle,judith,0,5KDNFlHAdDJ84fhK27c35X,0.365,0.894,11,-4.682,0,0.0572,3.32e-05,0.171,0.267,0.31,82.305,247267,3
60,bad bunny,mia (feat. drake),0,116H0KvKr2Zl4RPuVBruDO,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4
61,dj snake,"taki taki (with selena gomez, ozuna & cardi b)",0,4w8niZpiMy6qz1mntFA5uM,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,4
62,dillon francis,white boi,0,2X7pHBr2TJl0yZ97B2vz40,0.83,0.497,1,-6.94,1,0.052,0.0983,0.0,0.0906,0.634,127.965,185282,4
63,cris cab,just wanna love you (feat. j. balvin),0,3d0j5Tkx2Yum7FhMvJZe85,0.687,0.766,11,-6.08,1,0.054,0.0557,0.00107,0.146,0.303,94.973,199231,4
64,bazzi,beautiful (feat. camila cabello),0,4VUwkH455At9kENOfzTqmF,0.638,0.717,2,-4.722,1,0.0337,0.346,0.0,0.105,0.249,100.027,180000,4
65,lele pons,celoso,0,33zcmmElV1YbRZe57biUjg,0.746,0.703,4,-4.179,0,0.107,0.352,0.0,0.331,0.667,166.043,179693,4
66,fuego,good vibes,0,4TwIbmabI2R5XUhqptk6Ev,0.823,0.63,7,-3.932,1,0.0797,0.0348,6.72e-06,0.0964,0.184,100.04,235720,4
67,camila cabello,real friends,0,5vnpANH92iEajvGwE2oQ6r,0.701,0.512,0,-6.869,0,0.0969,0.235,5.07e-06,0.135,0.663,91.947,223583,4
68,coastcity,pa la calle,0,5MS3LTJ8zXkxMobDgFhvMC,0.695,0.884,0,-6.279,1,0.131,0.117,0.0,0.104,0.854,74.992,243487,4
69,dalex,pa mí,0,7g8YaUQABMal0zWe7a2ijz,0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,360960,4
70,gucci mane,wake up in the sky,0,0QIjsbm2fh1cJ45XO9eGqq,0.8,0.578,4,-5.144,0,0.0485,0.00381,0.0,0.359,0.367,143.01,204665,4
71,marc anthony,está rico,0,2wRkBumdItthjYP9XknImg,0.817,0.74,11,-4.566,0,0.283,0.266,0.0,0.0992,0.674,130.04,215151,4
72,miguel,banana clip - spanish version,0,3sZB7cAJkbVkeWz1dMJ2Sy,0.398,0.66,1,-5.626,0,0.12,0.107,0.0,0.121,0.719,83.828,202373,4
74,kap g,come with me,0,0k9Dqeik4DvPIbaOHglvFS,0.659,0.734,10,-4.008,1,0.046,0.0526,2.48e-06,0.242,0.346,161.971,157461,4
75,melii,como si na,0,7LAK1HqDfxTt7HvSJ0px2M,0.716,0.766,9,-4.133,1,0.173,0.219,0.0,0.244,0.739,160.1,170998,4
76,mariah,blah,0,5KOWiETj1KBUUe1oMohuHX,0.723,0.687,11,-4.632,0,0.2,0.0255,0.000207,0.124,0.777,173.747,188440,4
77,a.chal,love n hennessy remix (feat. 2 chainz & nicky jam),0,5EE4UWNUvVKPWSwnvtMn3J,0.928,0.402,8,-7.569,0,0.451,0.0257,0.0,0.0804,0.62,139.998,253714,4
78,cuco,mi infinita,0,34jrXQENVMzhDQHmjOJpA1,0.465,0.675,10,-7.555,1,0.0485,0.902,0.267,0.11,0.129,119.941,272000,4
79,katzù oso,coqueta,0,66ddt3E6KGEpRhJVchDnz3,0.632,0.652,4,-10.558,1,0.0302,0.571,0.85,0.194,0.594,115.031,174000,4
80,jessie reyez,sola,0,3doK7YkkgMtfD6qoXCkTWh,0.575,0.184,9,-10.26,1,0.0636,0.93,0.0,0.096,0.188,83.616,210013,4
81,kali uchis,nuestro planeta (feat. reykon),0,12TOa8pzhbLTWh1vxIsPMp,0.871,0.55,0,-6.113,0,0.0613,0.0927,0.000742,0.0788,0.448,96.018,202755,4
82,omar apollo,hijo de su madre,0,2LGR3T1xZwuELcOi6DpMXY,0.829,0.606,5,-7.093,1,0.149,0.0646,0.391,0.281,0.732,118.051,178010,4
83,rudy mancuso,lento,0,3TqVwe3IkJGvnFpbYvh9pu,0.837,0.649,11,-5.26,0,0.192,0.149,7.63e-05,0.103,0.948,164.002,169251,4
84,matt hunter,dicen,0,4cfoVJxpHqUqTvBrG1RTyi,0.817,0.635,5,-5.719,0,0.138,0.137,7.85e-06,0.245,0.777,103.029,220827,4
85,6ix9ine,bebe,0,6mKs2kkBgvf090H566n1pd,0.635,0.902,0,-3.559,1,0.109,0.172,0.0,0.125,0.286,102.063,217822,4
87,becky g,zooted (feat. french montana & farruko),0,3clw56k8jqFaXnwdejV4Yo,0.815,0.626,6,-5.139,1,0.103,0.267,1.31e-05,0.275,0.571,109.989,217652,4
88,camila cabello,havana - remix,0,3whrwq4DtvucphBPUogRuJ,0.751,0.579,2,-4.036,1,0.0321,0.398,2.28e-05,0.133,0.349,105.031,199095,4
89,sammi sanchez,pum pum,0,08d7h5o87QHdxIJ8qwgvgh,0.736,0.906,4,-1.49,0,0.0566,0.0749,0.000123,0.12,0.611,93.013,185744,4
90,jesse baez,quiero saber,0,3hbJTkEZUwGR7o74InfR3D,0.701,0.82,6,-5.481,0,0.0503,0.00282,1.97e-06,0.315,0.552,102.997,166093,4
91,kim viera,como,0,2sVQ3guXjN1KB3BiuZHaFD,0.544,0.848,9,-3.574,1,0.0658,0.00321,0.0,0.0561,0.657,92.061,234373,4
92,breakfast n vegas,anywhere contigo,0,5pc9qadiig2q84FABIGHsn,0.769,0.844,11,-4.058,0,0.0951,0.279,0.0,0.152,0.709,103.958,193846,4
93,messiah,no gratis,0,0YNZO6VgdOUDvB5T2yMGnL,0.777,0.546,7,-9.504,1,0.207,0.425,0.0,0.0809,0.952,147.173,208800,4
94,leslie grace,díganle - tainy remix,0,1l89iNLbzfFN9TsWJORolB,0.84,0.789,1,-4.695,0,0.0949,0.102,0.0,0.309,0.619,92.018,211438,4
95,pharrell williams,sangria wine,0,6XlSyYFTU1nodeWwwzVgTV,0.831,0.713,1,-3.646,0,0.094,0.181,0.0,0.0572,0.69,132.109,202853,4
96,danileigh,all day,0,1gxrzphu3xwlZAQhtvNBMK,0.825,0.481,2,-8.6,1,0.0396,0.0797,0.0,0.239,0.761,121.046,198387,4
97,spiff tv,just as i am,0,1iKMpywaaihrz8gqaRqzp1,0.682,0.751,8,-5.812,0,0.0675,0.235,0.0,0.11,0.708,129.937,224413,4
98,nina sky,nice & slow,0,23TRtzNuTqGJN8AvPF9hv1,0.799,0.616,5,-4.599,0,0.0415,0.00694,0.00237,0.283,0.697,127.023,218448,4
99,dj kass,scooby doo pa pa (remix),0,1qn6qJieOnISqDvhAsnyKT,0.921,0.965,1,-1.396,1,0.178,0.196,0.000201,0.323,0.507,120.902,176703,4
100,paula deanda,don't werk,0,1GXwLx1iRQWDiyC8lxzTbL,0.703,0.617,7,-8.732,1,0.0731,0.108,5.61e-05,0.271,0.435,123.159,133120,4
101,sofia reyes,"1, 2, 3 (feat. jason derulo & de la ghetto)",0,4QtiVmuA88tPQiCOHZuQ5b,0.792,0.895,1,-3.112,0,0.0589,0.165,0.0,0.0501,0.794,94.968,201526,4
102,tory lanez,pa mi (with ozuna),0,0CYLDwvvpJQySLA5CvqvSl,0.596,0.557,1,-7.522,0,0.134,0.0983,0.0,0.0565,0.661,133.247,216689,5
103,super junior,lo siento,0,2VVqxQhALecXvaArlZSVXr,0.746,0.738,9,-3.67,1,0.207,0.0705,0.0,0.043,0.63,94.808,226184,4
104,snow tha product,nuestra cancion pt. 2 (feat. arcángel),0,6fXcO9KlWgg4zAgEHDg84i,0.493,0.825,8,-4.056,1,0.0798,0.0079,0.0,0.129,0.621,99.866,215004,4
105,jackie cruz,la hora loca,0,3slEtqOv6jsy9BlRlqxy4C,0.838,0.639,7,-7.478,0,0.0652,0.0418,0.0,0.0802,0.802,126.018,173000,4
106,trinidad cardona,dinero - english version,0,1VNYba9ONwMhB32QdqU0ms,0.701,0.779,11,-4.657,0,0.0647,0.00436,0.0,0.121,0.451,119.974,161093,4
107,messiah,pum pum (feat. kap g & play-n-skillz),0,3Aisht63nuyccguwcW3ek5,0.871,0.563,10,-8.329,0,0.0795,0.149,0.0,0.0568,0.62,91.998,182225,4
108,dj africa,hora loca,0,0IfyEwBIhH64zdIHoKOFys,0.65,0.801,7,-5.407,0,0.0723,0.0507,0.0,0.0645,0.74,166.16,215422,4
109,michl,better with you,0,1FjHxl8B28sXj7eVfxdST4,0.784,0.437,5,-7.868,1,0.0509,0.265,6.98e-05,0.126,0.47,90.003,196018,4
110,ne-yo,nights like these,0,5wV6xSCqRD8kqV6daq7S7w,0.494,0.729,2,-4.934,1,0.161,0.133,0.0,0.143,0.421,78.833,204453,4
111,anthony ramos,alright,0,6oFsUGtEpV7qZGyYpQGtJe,0.456,0.587,5,-5.664,1,0.0609,0.0227,0.0,0.0439,0.249,169.828,229053,4
112,amara la negra,insecure,0,5vad0eq5x3f3rtRlo8GnL4,0.483,0.685,10,-3.232,0,0.174,0.369,0.0,0.0817,0.546,185.502,191907,4
113,play-n-skillz,si una vez - (if i once)[spanglish version],0,2qrv19NlDX5H67XZR1QCcn,0.62,0.823,5,-2.436,1,0.0567,0.0762,3.13e-05,0.112,0.404,175.921,237861,4
114,bruno mars,finesse (remix) [feat. cardi b],0,3Vo4wInECJQuz9BIBMOu8i,0.704,0.859,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.926,105.115,217289,4
115,fancy cars,belong to u,0,6pG8mlZHcSt14eQCOQxA2N,0.631,0.771,1,-5.78,1,0.0517,0.628,3.65e-05,0.0946,0.466,100.931,202574,4
116,salaam remi,sunny daze,0,3whp8PfpRw1xqzz7rbIzN4,0.853,0.715,7,-6.177,1,0.0762,0.565,0.0106,0.0716,0.844,92.377,167823,4
118,lil eddie,island,0,1i3DTKrrzzYgpIyM3eCNZE,0.743,0.793,2,-5.032,0,0.0546,0.118,6.07e-05,0.227,0.434,109.921,194011,4
119,beyoncé,crazy in love,0,5IVuqXILoxVWvWEPm82Jxr,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,236133,4
123,michael jackson,michael jackson x mark ronson: diamonds are invincible,0,7jRs0CvNctNBNH1roANQdY,0.672,0.832,11,-2.388,0,0.342,0.342,0.000428,0.242,0.549,117.298,300027,4
125,t.i.,live your life (feat. rihanna),0,3jlbL2OTD5YmIunYzgQTAN,0.375,0.862,11,-3.363,0,0.255,0.071,0.0,0.211,0.478,159.841,338853,4
129,michael jackson,love never felt so good,0,48td6xvpokdYwvbl3JIiXP,0.775,0.719,7,-6.212,0,0.0435,0.132,1.79e-06,0.0662,0.712,117.513,246027,4
132,train,drops of jupiter,0,2hKdd3qO7cWr2Jo0Bcs0MA,0.468,0.64,0,-5.862,1,0.0275,0.154,0.0,0.154,0.499,79.297,259933,4
137,kesha,tik tok,0,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,199693,4
138,chris brown,look at me now,0,3hsmbFKT5Cujb5GQjqEU39,0.767,0.677,11,-6.128,0,0.184,0.0339,5.51e-06,0.144,0.538,146.155,222587,4
161,britney spears,oops!...i did it again,0,6naxalmIoLFWR0siv8dnQQ,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,211160,4
163,daft punk,get lucky (feat. pharrell williams & nile rodgers) - radio edit,0,2Foc5Q5nqNiosCNqttzHof,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413,4
165,ciara,"one, two step",0,7uKcScNXuO3MWw6LowBjW1,0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,203787,4
181,christina aguilera,dirrty (feat. redman),0,59ZTxQo8rBycIXPLUIKvE2,0.64,0.889,2,-3.073,1,0.322,0.107,0.0,0.339,0.436,99.931,298853,4
186,destiny's child,"independent women, pt. 1",0,69XUpOpjzDKcfdxqZebGiI,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,221133,4
188,p!nk,get the party started,0,02jcEwywffn3Tsb48fXmlW,0.802,0.904,11,-3.267,0,0.0459,0.00108,0.0,0.173,0.961,128.931,192533,4
189,good charlotte,the anthem,0,0BRHnOFm6sjxN1i9LJrUDu,0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751,175093,4
193,daughtry,over you,0,7mXmxXLAnsvXKt4Q37KoMI,0.423,0.922,3,-2.602,1,0.0411,0.017,0.0,0.102,0.567,156.063,204853,4
197,marc anthony,vivir mi vida,0,3QHMxEOAGD51PDlbFPHLyJ,0.655,0.877,0,-3.23,0,0.0344,0.344,0.0,0.349,0.893,105.017,252347,4
198,celia cruz,la vida es un carnaval,0,1BwrMGGhPA6GarWIYaFrW8,0.813,0.701,0,-6.508,0,0.0701,0.489,0.00116,0.294,0.855,104.019,278867,4
199,kaoma,lambada - original version 1989,0,6xepovPqjvrkEw9Y5AMmTm,0.756,0.8,5,-5.158,1,0.0329,0.211,0.000723,0.047,0.967,118.921,207467,4
200,juanes,la camisa negra,0,2EM9zpAc7PVeoAydmbfVIL,0.751,0.731,6,-4.419,0,0.0308,0.0838,0.0,0.0556,0.973,97.007,216707,4
201,carlos vives,la gota fría,0,5ZaTqcL7zIreaVNeVy89Iu,0.719,0.809,1,-10.201,1,0.0511,0.0893,0.0,0.183,0.964,100.839,215493,4
202,elvis crespo,suavemente,0,1YwPNemawMgGe6sF4U0FTE,0.809,0.883,8,-2.965,1,0.0689,0.238,0.00234,0.0625,0.918,124.096,266307,4
203,enrique iglesias,bailando - spanish version,0,32lm3769IRfcnrQV11LO4E,0.723,0.777,7,-3.503,1,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,243413,4
204,don omar,danza kuduro,0,2a1o6ZejUi8U3wzzOtCOYw,0.4,0.915,0,-4.89,1,0.28,0.0846,0.0,0.0503,0.878,88.917,198773,3
205,miami sound machine,conga,0,3FdHgoJbH3DXNtGLh56pFu,0.789,0.655,2,-14.825,1,0.0474,0.167,0.0409,0.0311,0.865,122.236,254000,4
206,juan luis guerra 4.40,la bilirrubina - en vivo estadio olímpico de república dominicana/2012,0,1GT0Q2ZTeKtIBueYKr4vhr,0.585,0.977,1,-3.57,1,0.0615,0.622,0.0,0.328,0.801,138.264,232880,4
207,celia cruz,guantanamera,0,7arYtARCpVmLPsB8Chua4A,0.753,0.522,10,-7.254,1,0.0416,0.831,0.00398,0.407,0.862,144.2,197067,4
208,los fabulosos cadillacs,el matador,0,4S0p4Z0KuVUWm2bxKoGPRJ,0.554,0.963,4,-5.439,0,0.106,0.0348,0.029,0.0836,0.662,193.805,274067,4
209,selena,amor prohibido,0,1kCewNSs909Xj1naXr36X8,0.681,0.504,7,-11.099,1,0.0284,0.669,0.0,0.142,0.705,89.994,172627,4
211,aventura,obsesion,0,65H6t1WQBim6q93yM8fEwn,0.804,0.56,1,-6.912,0,0.0397,0.416,0.0,0.0608,0.768,133.682,254720,4
212,jennifer lopez,let's get loud,0,42nSaPdT6g3ZIMHmKLlP2p,0.82,0.937,5,-4.81,0,0.0551,0.135,0.000128,0.35,0.906,130.993,239400,4
213,tito puente,oye como va,0,73uEbChpBB29ttwVnwuNVE,0.658,0.738,7,-6.717,1,0.0315,0.747,0.00605,0.0624,0.963,123.261,274019,4
215,gipsy kings,bamboleo,0,4EveU9Zb50mjgi5avDNqlK,0.671,0.884,6,-9.267,0,0.0586,0.414,0.00015,0.0701,0.933,119.574,203173,4
216,rubén blades,pedro navaja,0,3TfU1HNQzBR7Btx73qm29W,0.603,0.328,8,-17.253,1,0.359,0.543,0.0,0.229,0.698,101.856,444267,4
217,daddy yankee,gasolina,0,6jEZLz3YpnEBRpVkv35AmP,0.857,0.801,0,-6.499,1,0.0618,0.332,1.2e-06,0.0789,0.753,96.009,192600,4
218,pérez prado,mambo no 5,0,6fJnlY8rYqC37J2u2OeEMf,0.816,0.416,5,-17.795,0,0.244,0.337,0.791,0.0452,0.817,90.148,162213,4
219,soda stereo,de música ligera,0,2WD9ggmpZE7Wodh3qVVCgg,0.542,0.714,2,-8.045,1,0.028,0.00487,0.298,0.334,0.76,124.26,212893,4
220,los del rio,macarena,0,4oaj36KzXRgDg4McgcTsZK,0.927,0.721,8,-12.561,1,0.0908,0.422,4.36e-05,0.0422,0.965,103.018,249382,4
221,los lobos,la bamba,0,6uU5OBhGUE1ngSKDj4wtoq,0.348,0.751,0,-12.823,1,0.0494,0.0699,0.000738,0.208,0.886,156.509,172733,4
222,juan gabriel,querida,0,7osHjFGYUmIMB6eAiU9HDs,0.427,0.586,0,-5.325,1,0.0286,0.321,0.0,0.0818,0.509,178.059,295280,4
223,santana,maria maria - radio mix,0,3XKIUb7HzIF1Vu9usunMzc,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,261973,4
224,café tacvba,la ingrata,0,19ScoKGqnfUggyqOVQjsoH,0.748,0.835,7,-5.731,1,0.0351,0.0854,1.97e-06,0.0365,0.896,142.942,212000,4
225,alejandro sanz,corazón partio,0,0wQCKR9OFjYu5Kzrk7WivJ,0.648,0.846,0,-6.731,1,0.0424,0.199,4.23e-06,0.0803,0.815,160.075,343413,4
226,ricky martin,livin' la vida loca,0,0Ph6L4l8dYUuXFmb71Ajnd,0.425,0.954,1,-3.756,0,0.0476,0.00411,0.0,0.0555,0.933,178.043,243160,4
227,joe arroyo,rebelión,0,00Ro1lnV3V6i87aY4t8Q43,0.571,0.755,1,-7.907,1,0.0735,0.142,2.55e-05,0.136,0.875,107.951,376013,4
228,silvio rodríguez,la maza,0,2a1x7Ln27cNtsgtL26mdwi,0.555,0.331,9,-17.718,0,0.27,0.652,1.16e-05,0.235,0.437,170.603,351400,3
229,rocío dúrcal,amor eterno,0,3K3wpXrbZYkXMxiA9QJwV1,0.279,0.157,0,-17.564,1,0.0334,0.231,0.000463,0.564,0.385,177.312,408507,4
230,consuelo velázquez,besame mucho,0,7FiuCY3Rs1klS6U7GEEo4I,0.582,0.463,5,-9.975,0,0.028,0.906,0.0378,0.176,0.406,94.97,244333,4
231,sergio mendes & brasil '66,mais que nada,0,6YTBfxkdGce9pLEy9jG9Jo,0.637,0.493,0,-13.094,0,0.0482,0.524,1.52e-05,0.136,0.932,88.796,159467,4
232,héctor lavoe,el cantante,0,5Uve0jm1RgxKWzdSvncBDO,0.549,0.498,7,-9.203,0,0.0371,0.694,3.87e-05,0.109,0.575,95.345,626880,4
233,buena vista social club,chan chan,0,5sbw5zIz9ck2pOEDXUR0QU,0.396,0.496,2,-11.728,0,0.0356,0.833,0.00534,0.0996,0.679,165.647,256653,4
234,roberto carlos,amigo,0,4CKIoO64EM5M37TkshbaQE,0.613,0.489,11,-13.509,0,0.0503,0.259,0.0,0.0696,0.898,145.278,208867,4
235,stan getz,the girl from ipanema - stereo version,0,5D9Psd43c2cidUu6RdkCu2,0.666,0.181,5,-14.932,0,0.0409,0.896,0.000373,0.111,0.391,130.024,325120,4
236,maná,oye mi amor,0,5EJ2THuhAapEIeQOtXUQ0x,0.543,0.903,11,-6.658,0,0.039,0.0102,0.00585,0.0862,0.962,162.241,263306,4
237,calle 13,latinoamérica,0,1xuYajTJZh8zZrPRmUaagf,0.691,0.805,2,-6.81,0,0.0947,0.59,0.0,0.0975,0.866,142.503,301427,3
238,julio iglesias,"soy un truhán, soy un señor",0,07nrFSbS6ht0jMNpTpMfsg,0.551,0.607,0,-9.483,1,0.0329,0.262,0.0,0.361,0.684,99.041,180600,4
239,joan manuel serrat,mediterraneo,0,7Bewui7KtaMzROeteRitRz,0.545,0.59,9,-7.257,0,0.0813,0.599,0.0,0.0916,0.583,100.835,205227,3
240,violeta parra,gracias a la vida,0,5U7MyRNbuZrWkyAI4bm3Ja,0.649,0.144,0,-16.809,1,0.0522,0.811,2.42e-06,0.089,0.264,119.193,278040,4
241,gerardo matos rodriguez,la cumparsita,0,6tJ0zwyKkJ9pWXN0XWqLqY,0.57,0.301,7,-13.846,1,0.0518,0.908,0.574,0.123,0.431,118.337,193800,4
